"","ID","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F300","F400","F401","F402","F403","F500","F501","F502","F503","F504","F505","F506","F507","F508","F509","F510","F511","F512","F513","F514","F515","F516","F517","F518","F519","F520","F521","F600","F601","F602","F603"
"57",461,6,4,0,0,1,91,11,31,10,10,6,8,4,10,1,0,6,1,1,2,1015,815,200,557,47,557,1,1,1,1,1,2,2,0,1,1,9,200,1,120,210,60,120,210,60,120,210,60,16,216,3,2,34404,32766,159,90,105,60,75,0,0.533333333333333,1.60666666666667
"58",462,6,4,0,0,1,89,7,29,19,10,3,6,3,9,1,2,6,0,0,1,568,540,28,1165,27,1165,1,1,1,1,1,3,1,0,1,1,9,3,1,30,180,60,0,180,60,0,180,60,32,326,24,19,11545,10443,212,131,204,131,75,0,0.72,1.38666666666667
"59",463,5,4,0,0,1,105,12,61,0,8,6,4,2,9,3,0,6,1,2,1,3619,1361,2258,882,51,882,1,1,1,1,1,2,6,0,1,1,44,3,1,0,200,60,0,200,60,0,200,0,15,151,24,37,8192,7930,246,343,208,220,100,0,0.45,1.57
"60",464,4,4,0,0,1,59,4,32,3,5,3,1,1,9,1,0,5,0,0,7,600,600,0,559,55,559,1,1,1,1,1,1,4,0,1,1,44,11,1,3,100,0,3,100,0,0,100,0,1,10,5,8,23386,24738,51,51,51,51,75,0,0.78,1.36
"61",465,5,4,0,0,1,52,6,25,0,7,2,3,2,6,1,0,4,1,1,8,2600,856,1744,1667,20,1667,1,1,1,1,1,2,1,0,1,1,9,3,1,0,180,0,0,180,0,0,180,0,34,340,13,22,189,185,189,185,117,155,67.955223880597,0.0223880597014925,1.11940298507463,1.21641791044776
"62",466,5,4,0,0,1,68,3,46,0,6,2,2,2,4,3,0,6,1,1,9,1775,335,1440,320,63,320,1,1,1,1,1,1,2,0,1,1,4,3,1,0,30,0,0,30,0,0,30,0,3,36,7,18,2120,1930,131,130,131,118,72.5862068965517,0.0206896551724138,1.01379310344828,1.47586206896552
"63",467,2,4,0,0,1,35,4,16,2,1,2,1,1,3,1,4,2,1,1,8,187,152,0,304,65,304,1,1,1,1,1,1,1,0,1,1,10,1,1,30,30,0,30,30,0,0,30,0,65,650,26,13,645,447,160,168,110,139,44.8904109589041,0.0273972602739726,1.12328767123288,1.47945205479452
"64",468,6,4,0,0,1,147,12,51,11,31,4,9,8,19,2,0,8,0,0,9,1387,1387,0,1437,74,1437,1,1,1,1,1,2,7,0,1,1,40,4,1,28,0,30,25,0,27,28,0,26,64,340,14,28,35246,15311,427,656,119,95,75,0.0266666666666667,0.866666666666667,1.38666666666667
"65",469,5,4,0,0,1,99,8,37,16,8,4,6,4,15,1,0,9,0,0,1,900,579,0,616,17,616,1,1,1,1,1,2,6,0,1,1,40,10,1,25,0,28,26,0,27,28,0,28,73,660,28,23,2938,2690,344,245,251,198,75,0.02,0.946666666666667,1.56
"66",470,5,4,0,0,1,80,4,39,10,4,2,4,4,8,5,0,7,1,1,1,1209,1209,0,1459,10,1459,1,1,1,1,1,2,2,0,1,1,11,3,1,90,90,30,60,90,30,0,90,0,9,281,7,43,30345,33814,95,422,12,22,75,0.0133333333333333,0.786666666666667,1.49333333333333
"67",471,2,4,0,0,1,56,5,10,21,4,2,2,3,6,3,0,4,1,1,6,675,675,0,538,10,538,1,1,1,1,1,0,1,0,1,1,10,3,1,60,60,60,60,60,60,0,60,0,1,31,9,5,307,183,236,133,236,133,75,0.02,0.7,1.79333333333333
"68",472,2,4,0,0,1,43,4,16,3,2,1,1,1,11,4,0,2,0,0,7,346,346,0,731,45,731,1,1,1,1,1,1,1,0,1,1,14,3,1,30,60,0,0,60,0,0,60,0,1,10,9,1,110,58,56,32,48,16,39.2857142857143,0.038961038961039,0.662337662337662,1.32467532467532
"69",473,4,4,0,0,1,76,9,24,15,5,2,5,4,11,1,0,5,1,1,9,965,965,0,1431,46,1431,1,1,1,1,1,2,3,0,1,1,11,5,1,86,150,0,120,200,0,150,300,0,51,648,7,5,158,134,158,134,119,94,73.530612244898,0,0.877551020408163,1.3265306122449
"70",474,4,4,0,0,1,52,4,18,10,6,2,2,2,7,1,0,4,1,1,1,224,224,0,224,72,224,1,1,1,1,1,1,2,0,1,1,0,0,1,30,30,0,30,30,0,0,30,0,116,1160,1,0,2651,3477,124,155,65,90,75,0.0266666666666667,0.673333333333333,1.52666666666667
"71",475,5,4,0,0,1,108,7,30,37,11,3,3,3,12,2,0,7,1,1,7,510,510,0,765,102,765,1,1,1,1,1,2,7,0,1,1,18,0,1,30,30,30,30,30,30,0,30,30,33,330,1,3,33603,28239,151,87,101,53,75,0,0.546666666666667,1.74666666666667
"72",476,2,4,0,0,1,43,3,20,8,1,1,1,1,4,4,0,4,0,0,7,2160,430,0,430,15,430,1,1,1,1,1,2,5,0,1,1,7,3,1,30,60,0,30,60,0,0,60,0,1,33,1,0,249,288,96,71,46,32,28.5087719298246,0.0350877192982456,0.736842105263158,1.33333333333333
"73",477,6,4,0,0,1,101,5,40,17,9,4,4,3,14,5,0,1,1,1,1,806,556,0,1262,24,1262,1,1,1,1,1,1,1,0,1,1,3,3,1,1,30,0,0,30,0,0,30,0,1,124,32,35,14598,33207,261,278,219,203,89.2857142857143,0,0.44,1.56571428571429
"74",478,3,4,0,0,1,74,6,36,8,4,3,2,1,12,2,0,3,1,1,7,697,436,261,875,8,875,1,1,1,1,1,2,5,0,1,1,9,3,1,60,360,60,120,360,60,0,360,0,7,70,2,8,30621,26018,65,87,49,65,75,0,0.613333333333333,1.53333333333333
"75",479,5,4,0,0,1,112,8,71,0,11,5,1,2,13,1,0,9,1,1,1,1126,1089,37,4356,55,4356,1,1,1,1,1,2,5,0,1,1,9,3,1,0,270,210,0,270,210,0,270,210,4,40,20,20,23047,18423,192,159,142,122,89.2857142857143,0,0.48,1.66857142857143
"76",480,5,4,0,0,1,95,4,53,10,7,2,4,4,7,4,0,5,0,0,7,2475,2475,0,924,18,924,1,1,1,1,1,2,1,0,0,1,11,1,1,30,30,30,30,30,30,0,30,30,43,445,20,51,26374,25360,191,296,125,109,71.2253521126761,0.00704225352112676,1.22535211267606,1.21830985915493
"77",481,6,4,0,0,1,139,5,30,63,8,2,5,3,12,5,6,5,0,0,7,160,140,0,379,50,379,1,1,1,1,1,1,4,0,0,1,9,1,1,30,30,30,30,30,30,0,30,30,1,11,14,8,40185,25271,427,334,75,76,75,0,0.966666666666667,1.52666666666667
"78",482,6,4,0,0,1,177,3,65,55,14,4,11,4,12,4,5,5,0,0,9,2326,1110,1216,2220,22,2220,1,1,1,1,1,2,1,0,1,1,6,8,1,28,270,90,28,270,90,0,270,0,20,220,9,16,13423,5586,571,499,520,402,75,0,1.19333333333333,1.22666666666667
"79",483,6,4,0,0,1,127,5,54,28,11,3,8,4,10,4,0,5,0,0,1,660,660,0,804,15,804,1,1,1,1,1,2,1,0,1,1,11,3,1,30,30,24,30,30,24,0,30,0,243,2430,10,10,7542,6714,176,188,61,56,75,0.0133333333333333,1.14,1.28
"80",484,5,4,0,0,1,196,12,87,36,15,5,9,4,12,4,12,7,1,1,9,712,635,0,1382,20,1382,1,1,1,1,1,2,3,0,1,1,11,4,1,270,360,180,270,360,180,0,390,180,233,2332,10,13,34140,17976,355,266,278,164,75,0.0133333333333333,1.12,1.23333333333333
"81",485,6,4,0,0,1,127,9,38,44,8,3,6,2,10,5,2,5,1,1,1,1100,1100,0,879,17,879,1,1,1,1,1,2,3,1,0,1,11,1,1,30,30,30,30,30,30,0,30,30,64,700,2,6,13096,4879,159,128,111,48,75,0,1.23333333333333,1.28666666666667
"82",486,5,4,0,0,1,259,21,129,64,12,2,6,8,16,1,0,5,1,1,7,1890,1890,0,860,29,860,1,1,1,1,1,2,1,0,1,1,11,10,1,500,500,240,500,500,240,0,0,0,172,1734,45,27,5563,3246,230,344,197,267,89.2857142857143,0,1.30857142857143,1.35428571428571
"83",487,6,4,0,0,1,191,27,36,62,13,3,8,2,17,7,16,7,0,0,1,476,476,0,778,52,778,1,1,1,1,1,2,3,0,1,1,9,3,1,30,30,30,30,30,30,0,30,30,26,296,52,42,75633,57873,434,418,156,120,75,0.00666666666666667,0.826666666666667,1.58
"84",488,6,4,0,0,2,77,4,37,0,9,2,7,3,11,4,0,6,1,1,1,645,645,0,602,20,602,1,1,1,1,1,2,5,0,1,1,20,20,1,0,30,30,0,30,30,0,30,0,41,471,5,5,16200,12150,205,345,29,35,75,0,0.8,1.44
"85",489,4,4,0,0,1,57,6,12,10,8,2,2,4,9,4,0,5,1,2,1,1999,1999,0,645,25,645,1,1,1,1,1,1,2,0,1,1,10,5,1,26,30,26,26,30,26,0,30,0,77,770,2,7,12490,10579,198,226,152,175,55.4761904761905,0.00952380952380952,1.3047619047619,1.16190476190476
"86",490,6,4,0,0,1,90,4,39,6,14,3,4,3,11,1,5,6,1,1,1,1360,1000,200,1390,35,1390,1,1,1,1,1,2,1,0,1,1,6,2,1,30,30,0,0,30,0,0,30,0,3,110,6,2,12811,3623,389,260,323,199,75,0.0133333333333333,0.913333333333333,1.38666666666667
"87",491,5,4,0,0,1,97,7,49,12,12,2,1,2,11,1,0,7,1,1,7,1918,1534,200,1500,54,1500,1,1,1,1,1,2,6,0,1,1,12,3,1,30,90,0,0,90,30,0,90,0,1,42,22,51,52635,41092,518,671,515,671,75,0,0.76,1.38
"88",492,5,4,0,0,1,68,7,30,4,6,2,5,4,9,1,0,5,1,1,1,2582,1999,0,1327,33,1327,1,1,1,1,1,2,5,0,1,1,25,6,1,24,140,28,0,0,0,0,0,0,41,452,18,17,37840,29645,183,198,93,119,75,0.02,0.42,1.8
"89",493,4,4,0,0,4,80,4,12,10,19,2,15,5,7,6,0,3,0,0,7,660,510,150,510,42,510,1,1,1,1,1,2,6,0,1,1,32,27,1,6,2,3,6,2,3,6,2,3,3,75,36,37,12940,9580,263,310,263,310,75,0,0.493333333333333,1.93333333333333
"90",494,5,4,0,0,1,108,22,37,4,12,4,6,5,16,1,1,7,0,0,1,369,369,0,983,46,983,1,1,1,1,1,2,5,1,1,1,7,7,1,30,30,30,30,30,30,0,30,30,64,640,18,18,46,39,46,39,46,39,75,0.0133333333333333,0.8,1.32666666666667
"91",495,5,4,0,0,2,106,16,23,20,18,2,6,4,14,3,0,6,1,1,9,318,318,0,646,43,646,1,1,1,1,1,2,2,0,1,1,18,3,1,30,30,30,30,30,30,30,30,30,1,45,40,25,61,3,61,3,61,3,75,0.0133333333333333,0.68,1.47333333333333
"92",496,6,4,0,0,1,151,22,41,37,23,4,5,4,14,1,0,7,0,0,9,4676,3763,913,2850,71,2850,1,1,1,1,1,1,6,0,1,1,108,3,1,30,30,30,0,30,30,30,30,30,79,790,17,13,339,350,339,350,257,176,89.2857142857143,0.0114285714285714,0.845714285714286,1.44571428571429
"93",497,5,4,0,0,1,132,5,97,0,6,2,3,3,11,5,0,5,1,1,1,1120,700,420,1060,44,1060,1,1,1,1,1,2,9,0,1,1,80,3,1,0,30,30,0,30,30,0,30,30,3,80,48,30,13620,12900,382,235,382,235,75,0,0.52,1.63333333333333
"94",498,5,4,0,0,1,140,10,90,0,9,5,4,4,17,1,0,6,1,1,7,289,240,49,810,35,810,1,1,1,1,1,2,1,0,1,1,75,3,1,0,11,1,0,11,1,0,11,1,5,100,42,26,13416,3996,384,341,384,341,89.2857142857143,0,0.702857142857143,1.59428571428571
"95",499,6,4,0,0,1,146,6,38,11,24,4,15,6,14,1,27,7,1,1,9,728,342,0,734,37,734,1,1,1,1,1,2,4,0,1,1,8,3,1,60,150,60,60,150,0,0,150,0,35,350,68,52,53225,27413,493,433,308,272,89.2857142857143,0.0114285714285714,0.708571428571429,1.42285714285714
"96",500,1,4,0,0,1,30,4,11,6,2,1,0,1,4,1,0,3,1,1,9,531,531,0,367,48,367,1,1,1,1,1,1,5,0,1,1,11,2,1,30,30,30,30,30,30,0,30,30,5,50,0,0,13306,8624,9,5,8,3,41.7894736842105,0.0657894736842105,0.710526315789474,1.19736842105263
"97",501,4,4,0,0,1,55,7,21,5,4,2,3,4,8,1,0,4,1,1,9,2369,238,2131,331,30,331,1,1,1,1,1,1,4,0,1,1,10,0,1,25,0,30,28,0,30,25,0,30,38,245,5,4,6455,3525,83,90,10,19,33.0645161290323,0.0161290322580645,1.43548387096774,1.5
"98",502,5,4,0,0,2,69,9,26,4,6,3,3,3,10,5,0,7,0,0,1,2794,745,2049,745,35,745,1,1,1,1,1,1,2,0,1,1,18,18,1,1,10,0,0,10,0,0,10,0,0,0,1,1,28883,7723,116,112,101,79,75,0,0.413333333333333,1.60666666666667
"99",503,6,4,0,0,1,101,14,42,0,11,8,6,3,3,6,8,5,1,1,3,3619,1300,0,1200,45,1200,1,1,1,1,1,2,2,0,1,1,7,4,1,0,30,6,0,30,6,0,30,6,11,110,38,28,74184,20729,257,192,257,192,165.909090909091,0,0.330909090909091,1.79636363636364
"100",504,6,4,0,0,1,105,18,43,5,10,4,6,2,10,7,0,5,1,1,1,300,300,0,1035,42,1035,1,1,1,1,1,2,1,0,1,1,8,3,1,0,180,0,30,180,60,30,210,60,1,19,8,12,11769,9182,256,261,185,206,75,0,0.44,1.69333333333333
"101",505,4,4,0,0,1,118,6,44,20,11,4,4,3,14,8,4,6,0,0,9,900,900,0,820,63,820,1,1,1,4,1,2,2,1,1,1,12,36,1,90,90,90,30,90,30,0,30,0,1,20,29,11,41653,30954,572,513,572,513,75,0,0.533333333333333,1.63333333333333
"102",506,5,4,0,0,2,97,5,28,18,15,2,9,3,8,7,2,6,1,1,1,1500,1500,0,652,24,652,1,1,1,1,1,1,2,0,1,1,8,8,1,26,30,0,26,30,0,0,30,0,55,654,30,21,236,308,236,308,189,242,75,0,1.63333333333333,1.2
"103",507,6,4,0,0,1,103,6,36,22,12,4,0,3,13,7,0,8,0,0,1,8155,1948,0,1325,24,1325,1,1,1,1,1,1,2,0,1,1,9,2,1,26,30,0,26,30,0,0,30,0,21,292,13,38,8214,4490,359,459,244,380,75,0,1.16666666666667,1.36
"104",508,6,4,0,0,1,74,6,34,6,7,2,4,4,8,3,0,6,1,1,1,777,777,0,1154,45,1154,1,1,1,1,1,2,3,0,1,1,10,3,1,30,240,60,30,240,60,0,240,60,23,0,18,16,484,526,306,286,306,286,75,0.00666666666666667,1.01333333333333,1.20666666666667
"105",509,6,4,0,0,2,67,4,37,0,8,2,5,2,8,1,0,5,1,1,9,547,547,0,400,20,400,1,1,1,1,1,2,4,0,1,1,3,4,1,0,180,78,0,180,78,0,180,0,5,150,23,24,25711,23929,436,525,299,451,75,0.00666666666666667,1.16666666666667,1.40666666666667
"106",510,6,4,0,0,1,66,5,25,9,7,3,7,3,6,1,0,5,0,0,6,200,200,0,420,20,420,1,1,1,1,1,2,2,0,1,1,9,0,1,30,150,0,30,150,0,0,90,0,28,1300,15,20,729,497,286,225,286,225,70.3571428571429,0.0214285714285714,1.27142857142857,1.12857142857143
"107",511,6,4,0,0,1,88,5,38,11,10,3,5,1,14,1,0,6,0,0,1,2330,1730,600,2330,56,2330,1,1,1,1,1,2,5,0,1,1,9,3,1,30,240,120,30,240,120,0,240,120,111,0,9,23,1310,1120,222,324,222,324,75,0.02,1.07333333333333,1.35333333333333
"108",512,5,3,0,1,0,89,3,61,0,5,2,6,3,6,3,0,5,1,1,1,1303,683,620,1366,23,1366,1,1,1,1,1,2,3,0,1,1,35,0,1,0,0,7,0,0,7,0,0,7,35,270,7,4,13636,18810,454,529,295,429,75,0.0666666666666667,1.2,1.07333333333333
"109",513,4,4,0,0,1,26,2,16,0,2,1,1,1,1,2,0,7,1,1,2,591,429,162,1287,87,1287,1,1,1,1,1,2,2,0,1,1,9,3,1,0,30,0,0,30,0,0,30,0,18,208,0,1,17490,20619,113,101,92,78,63.3389830508475,0.0677966101694915,1.32203389830508,1.02542372881356
"110",514,4,4,0,0,1,20,2,8,0,2,2,1,2,2,1,0,4,1,2,6,284,284,0,305,84,305,1,1,1,3,1,1,1,1,1,1,22,110,1,0,4,0,0,6,0,0,6,0,23,270,0,0,0,1012,0,56,0,56,28.0357142857143,0.160714285714286,1.10714285714286,1.25
"111",515,4,4,0,0,1,28,2,10,0,8,2,2,1,2,1,0,5,1,2,1,127,127,0,230,47,230,1,1,1,1,1,1,1,0,1,1,11,3,1,0,13,0,0,15,0,0,18,0,32,491,0,0,0,0,0,0,0,0,61.0168067226891,0.0756302521008403,1.43697478991597,1.39495798319328
"112",516,4,4,0,0,1,18,2,5,0,0,2,2,2,3,2,0,5,1,1,6,130,130,0,130,20,130,1,1,1,1,1,1,2,0,1,1,46,3,1,0,17,0,0,20,0,0,20,0,22,388,0,0,1557,1226,15,18,0,0,17.4,0.0666666666666667,0.866666666666667,1.33333333333333
"113",517,6,3,0,1,0,31,2,16,0,2,3,2,2,2,2,0,0,0,0,9,486,486,0,468,63,468,1,1,1,1,1,2,1,1,1,1,8,0,1,0,30,30,0,30,30,0,30,0,9,94,1,0,9014,6637,28,14,19,9,43.5714285714286,0.0317460317460317,0.936507936507937,1.31746031746032
"114",518,2,4,0,0,1,36,4,18,0,5,2,2,2,2,1,0,3,1,1,9,209,209,0,180,10,180,1,1,1,3,1,1,1,0,1,1,3,0,1,0,30,0,0,30,0,0,30,0,26,260,3,2,25040,17410,42,44,31,36,36.4814814814815,0.0185185185185185,1.11111111111111,1.22222222222222
